Concert Date,Venue,City,Latitude,Longitude,Description,Citation,Media
1880-05-06,Unknown,"Pittsburgh, PA",40.440625,-79.995886,,Seroff,
1880-05-20,Unknown,"Louisville, KT",38.252665,-85.758456,,Seroff,
1880-05-21,Unknown,"Louisville, KT",38.252665,-85.758456,,Seroff,
1880-05-22,Unknown,"Louisville, KT",38.252665,-85.758456,,Seroff,
1880-06-05,Unknown,Philadelphia,39.952584,-75.165222,,Seroff,
1880-07-07,Unknown,"Springfield, IL",39.781721,-89.650148,,Seroff,
1880-08-09,Unknown,"New York, NY",40.712784,-74.005941,,Seroff,
1880-08-10,Unknown,"Chautauqua Lake, NY",42.156111,-79.395556,,Seroff,
1880-08-11,Unknown,"Chautauqua Lake, NY",42.156111,-79.395556,,Seroff,
1880-08-14,Unknown,New York,40.712784,-74.005941,,Seroff,
1880-08-19,Unknown,"Chautauqua Lake, NY",42.156111,-79.395556,,Seroff,
1880-04-23,Unknown,"Lancaster, PA",40.037876,-76.305514,,Seroff,
1880-04-27,Unknown,"Lancaster, PA",40.037876,-76.305514,,Seroff,
1880-10-20,Unknown,"Hamilton, ON",43.255721,-79.871102,,Seroff,
1880-10-21,Unknown,"St. Catherine's, ON",43.159375,-79.246863,,Seroff,
1880-10-23,Unknown,"Toronto, ON",43.653226,-79.383184,,Seroff,
1880-11-08,Unknown,"Woodstock, ON",43.131497,-80.747165,,Seroff,
1880-11-10,Unknown,"Toronto, ON",43.653226,-79.383184,,Seroff,
1880-11-16,Unknown,"Belleville, ON",44.162759,-77.383231,,Seroff,
1880-11-18,Unknown,"Kingston, ON",44.231172,-76.485954,,Seroff,
1880-11-20,Unknown,"Ottawa, ON",45.42153,-75.697193,,Seroff,
1881-01-11,Unknown,"Albany, NY",42.652579,-73.756232,,Seroff,
1881-02-01,Unknown,"Elmira, NY",42.089797,-76.807734,,Seroff,
1881-03-02,Unknown,"Oswego, NY",43.455346,-76.510497,,Seroff,
1881-02-16,Unknown,Philadelphia,39.952584,-75.165222,,Seroff,
1881-04-01,Unknown,"Wellsville, NY",42.122012,-77.948057,,Seroff,
1881-04-08,Unknown,New York,40.712784,-74.005941,,Seroff,
1881-08-20,Unknown,"Dunkirk, NY",42.479502,-79.333932,Date is an estimate. We only know late August.,Seroff,
1881-04-26,Unknown,Chicago,41.878114,-87.629798,,Seroff,
1881-04-27,Unknown,Chicago,41.878114,-87.629798,,Seroff,
1881-04-28,Unknown,"Springfield, IL",39.781721,-89.650148,,Seroff,
1881-04-29,Unknown,Chicago,41.878114,-87.629798,,Seroff,
1881-05-02,Unknown,"Springfield, IL",39.781721,-89.650148,,Seroff,
1881-05-03,Unknown,"Springfield, IL",39.781721,-89.650148,,Seroff,
1881-05-05,Unknown,"Springfield, IL",39.781721,-89.650148,,Seroff,
1881-05-06,Unknown,"Springfield, IL",39.781721,-89.650148,,Seroff,
1881-05-10,Unknown,"St. Louis, MO",38.627002,-90.199404,,Seroff,
1881-06-23,Unknown,"Janesville, WI",42.682789,-89.018722,,Seroff,
1881-08-04,Unknown,"Chautauqua Lake, NY",42.156111,-79.395556,,Seroff,
1881-08-12,Unknown,"Chautauqua Lake, NY",42.156111,-79.395556,,Seroff,
1881-08-21,Unknown,"Chautauqua Lake, NY",42.156111,-79.395556,,Seroff,
1881-09-24,Unknown,"Toronto, ON",43.653226,-79.383184,,Seroff,
1881-09-28,Unknown,"Buffalo, NY",42.904722,-78.849444,,Seroff,
1881-10-01,Unknown,"Toronto, ON",43.653226,-79.383184,,Seroff,
1881-10-29,Unknown,"New Orleans, LA",29.951066,-90.071532,City is an estimate. We know it was in Louisiana but not what city.,Seroff,
